Identifiant DEPCIR (numéro de département suivi du numéro de circonscritption),Intitulé de DEPCIR,Population,Population 0-2 ans,Population 3-5 ans,Population 6-10 ans,Population 11-17 ans,Population 18-24 ans,Population 25-39 ans,Population 40-54 ans,Population 55-64 ans,Population 65-79 ans,Population 80 ans et plus,Population 0-19 ans,Population 20-64 ans,Population 65 ans et plus,Population Hommes,Population Hommes 0-19 ans,Population Hommes 20-64 ans,Population Hommes 65 ans et plus,Population Femmes,Population Femmes 0-19 ans,Population Femmes 20-64 ans,Population Femmes 65 ans et plus,Population française,Population étrangère,Population 15 ans ou plus,Population 15 ans ou plus Agriculteurs exploitants,"Population 15 ans ou plus Artisans, Comm., Chefs entr.","Population 15 ans ou plus Cadres, Prof. intel. sup.",Population 15 ans ou plus Prof. intermédiaires ,Population 15 ans ou plus Employés,Population 15 ans ou plus Ouvriers,Population 15 ans ou plus Retraités ,Population 15 ans ou plus Autres,Population Hommes15 ans ou plus,Population Hommes 15 ans ou plus Agriculteurs exploitants,"Population Hommes15 ans ou plus Artisans, Comm., Chefs entr.","Population Hommes 15 ans ou plus Cadres, Prof. intel. sup.",Population Hommes 15 ans ou plus Prof. intermédiaires ,Population Hommes15 ans ou plus Employés,Population Hommes 15 ans ou plus Ouvriers,Population Hommes 15 ans ou plus Retraités ,Population Hommes 15 ans ou plus Autres,Population Femmes15 ans ou plus,Population Femmes 15 ans ou plus Agriculteurs exploitants,"Population Femmes15 ans ou plus Artisans, Comm., Chefs entr.","Population Femmes 15 ans ou plus Cadres, Prof. intel. sup.",Population Femmes 15 ans ou plus Prof. intermédiaires ,Population Femmes 15 ans ou plus Employés,Population Femmes 15 ans ou plus Ouvriers,Population Femmes 15 ans ou plus Retraités ,Population Femmes 15 ans ou plus Autres,Résidences principales,Population Ménages : Nombre de personnes des ménages,Population ménages : nombre de personnes dans les ménages avec famille(s),Population ménages : Nombre de ménages d'une Personne seule
DEPCIR,DEPCIR INTITULE,P13 pop,P13 pop0002,P13 pop0305,P13 pop0610,P13 pop1117,P13 pop1824,P13 pop2539,P13 pop4054,P13 pop5564,P13 pop6579,P13 pop80p,P13 pop0019,P13 pop2064,P13 pop65P,P13 poph,P13 h0019,P13 h2064,P13 h65p,P13 popf,P13 f0019,P13 f2064,P13 f65p,P13 pop fr,P13 pop etr,P13 Pop15P,C13 Pop15P cs1,C13 Pop15P cs2,C13 Pop15P cs3,C13 Pop15P cs4,C13 Pop15P cs5,C13 Pop15P cs6,C13 Pop15P cs7,C13 Pop15P cs8,C13 H15P,C13 H15P cs1,C13 H15P cs2,C13 H15P cs3,C13 H15P cs4,C13 H15P cs5,C13 H15P cs6,C13 H15P cs7,C13 H15P cs8,C13 F15P,C13 F15P cs1,C13 F15P cs2,C13 F15P cs3,C13 F15P cs4,C13 F15P cs5,C13 F15P cs6,C13 F15P cs7,C13 F15P cs8,P13 rp,C13 pmen,C13 pmen menfam,C13 pmen menseul
3106,Haute-Garonne  - 6e circonscription,150898,3965,6356,10367,15458,11364,27900,35788,18468,14826,6405,40040,89627,21231,74327,20605,44345,9377,76571,19434,45282,11855,142687,8211,121145,287,3915,19034,22086,18665,12476,24863,19818,58865,218,2774,12561,10097,3980,10219,11273,7743,62280,69,1141,6473,11989,14686,2257,13590,12074,60350,148731,130538,15657
3107,Haute-Garonne  - 7e circonscription,134547,3427,5283,8890,12382,9430,24762,31053,16282,15579,7460,33026,78483,23039,66308,16904,39459,9944,68239,16121,39023,13094,129436,5111,109792,789,4279,10272,17898,19025,12877,26473,18180,53551,600,3215,6521,8455,4054,10825,11999,7881,56241,189,1063,3751,9442,14971,2052,14474,10298,54545,130516,112298,15122
3108,Haute-Garonne  - 8e circonscription,106920,2013,3246,5974,8718,5958,15327,22318,15545,17576,10245,22049,57050,27821,52019,11379,28518,12122,54901,10671,28532,15699,103060,3860,90559,1667,4263,4019,10683,14807,10575,31463,13082,43359,1200,3061,2504,4959,3388,8801,14325,5121,47200,468,1203,1514,5724,11419,1774,17139,7961,47941,104212,84583,16262
3109,Haute-Garonne  - 9e circonscription,132494,3266,4610,7163,9301,21358,28977,23925,13457,13623,6815,29146,82910,20438,64986,14836,41581,8569,67508,14310,41329,11869,120187,12307,112162,60,2941,14166,17033,17173,10445,22326,28017,54468,51,2163,8750,7821,4531,8753,9747,12652,57694,9,778,5416,9212,12643,1692,12579,15365,64720,129677,93116,29559
3110,Haute-Garonne  - 10e circonscription,122377,2682,4422,8129,11908,9417,19516,28444,15949,14965,6946,30332,70134,21910,60076,15692,34586,9798,62301,14641,35549,12112,119793,2584,100267,793,3912,15456,16488,14633,8079,25101,15804,48714,532,2850,9926,7286,3102,6764,11597,6656,51553,261,1062,5529,9201,11531,1315,13504,9148,50496,120100,103759,13865
3201,Gers    - 1re circonscription,97528,1676,2667,4976,7675,6022,13272,20230,14903,16526,9580,19011,52410,26106,47425,9741,25981,11703,50103,9271,26430,14403,93182,4346,83968,3078,3697,4396,9943,12375,9570,29568,11341,40324,2365,2583,2577,4409,2576,7514,13597,4703,43644,712,1115,1819,5534,9799,2057,15971,6638,44521,94723,76574,15376
3202,Gers    - 2e circonscription,92748,1749,2912,5193,7610,4776,13223,19644,13637,15128,8876,19169,49575,24004,45397,9887,24748,10762,47351,9282,24826,13242,88419,4329,78393,3258,3752,4352,9266,11124,9832,27238,9571,38057,2351,2671,2523,4273,2098,7667,12647,3827,40336,907,1082,1830,4993,9026,2164,14591,5744,40942,90531,75084,13049
3301,Gironde  - 1re circonscription,137789,3141,4469,7465,10299,13191,29276,27749,16476,15545,10177,28886,83181,25722,64136,14961,39507,9668,73652,13925,43673,16054,128692,9096,116765,147,4291,16431,19241,18435,9330,27103,21787,53138,104,3060,9447,8437,4880,7768,10468,8975,63628,43,1231,6984,10804,13555,1563,16635,12813,68238,135366,99351,30856
3302,Gironde  - 2e circonscription,118314,2276,2863,4170,6074,26564,32574,18943,10037,9132,5679,19895,83608,14811,55431,9720,40184,5528,62883,10175,43425,9283,109113,9201,105521,85,3233,17736,16973,14435,6804,15527,30729,48852,49,2258,9840,7625,4768,5661,6035,12615,56669,36,975,7895,9348,9667,1142,9492,18113,68547,115378,64826,39824
3303,Gironde  - 3e circonscription,125969,3035,3860,6148,8543,19502,28185,23487,13766,11721,7723,25501,81025,19443,59728,12954,39358,7416,66241,12547,41666,12027,116174,9795,108224,48,3292,11719,17370,18522,10603,22088,24582,50699,35,2427,6760,8093,4903,8832,8924,10726,57525,13,865,4958,9277,13620,1772,13164,13856,63673,123686,86952,29502
3304,Gironde  - 4e circonscription,136376,3573,5488,8634,12438,11077,25767,28668,17428,16014,7289,33622,79451,23303,65580,17491,38327,9762,70796,16131,41124,13541,124427,11949,111540,203,4138,6826,15330,20796,16202,27801,20243,52676,120,3164,4140,7254,4311,13397,12386,7906,58864,83,974,2687,8076,16486,2805,15416,12338,56175,134112,114071,16483
3305,Gironde  - 5e circonscription,144832,3361,5696,9268,12744,9592,25781,31263,20034,18863,8229,34226,83513,27093,70927,17695,41116,12117,73905,16532,42397,14976,139585,5247,118823,941,5039,7761,16782,21276,17845,32518,16661,57511,677,3589,4700,8027,4446,14301,15281,6491,61312,264,1450,3062,8756,16830,3543,17237,10170,61047,142445,122110,16886
3306,Gironde  - 6e circonscription,138257,2905,4665,8255,11952,12329,25909,30931,17701,16349,7263,31363,83283,23611,66150,15979,40326,9845,72107,15384,42957,13766,133834,4423,115697,123,3496,14918,20722,20832,10195,27408,18003,54558,94,2424,9410,9399,5386,8497,12126,7222,61139,30,1072,5508,11323,15446,1698,15282,10781,60682,135704,112627,19702
3307,Gironde  - 7e circonscription,106855,1900,3098,5367,8406,13536,18203,21445,14072,13909,6920,22089,63937,20829,51187,11294,30945,8948,55668,10795,32992,11881,102005,4850,91633,78,2510,11407,13992,12738,7477,23779,19653,43380,64,1819,7081,6143,3110,6098,10572,8492,48253,13,691,4326,7849,9628,1378,13207,11162,46988,101905,82393,16481
3308,Gironde  - 8e circonscription,125221,2000,3608,6444,10328,7434,17371,26365,17766,22635,11269,25108,66209,33904,59590,12829,32279,14482,65631,12279,33930,19422,122671,2550,107496,615,5293,7219,13475,17887,10275,38237,14496,50467,498,3451,4517,6317,4235,8687,17431,5331,57029,117,1842,2701,7158,13652,1588,20805,9165,57509,123406,101884,18652
3309,Gironde  - 9e circonscription,122965,2970,4800,8411,11745,7709,21323,27866,15759,14926,7456,30625,69958,22381,59982,15621,34593,9767,62983,15004,35365,12615,120143,2822,99918,786,4786,7418,15202,17053,13945,26750,13978,48345,573,3443,4691,7184,3311,11248,12462,5433,51573,213,1343,2727,8018,13742,2696,14288,8545,50364,120677,104663,13430
3310,Gironde  - 10e circonscription,111436,2537,3984,7201,9918,7076,18655,24065,15090,14801,8109,25950,62576,22909,53453,13176,30513,9763,57983,12774,32063,13146,106703,4733,91871,2163,3992,4852,11848,14792,14433,26632,13159,43575,1527,2940,2872,5513,2815,11019,11735,5154,48296,636,1052,1980,6336,11977,3414,14897,8005,48301,109540,91872,15155
3311,Gironde  - 11e circonscription,127253,3120,5107,8804,11872,8023,22796,27593,16448,15468,8022,31600,72162,23491,62387,16107,35942,10338,64866,15493,36220,13152,124844,2409,103499,1444,4140,4120,12677,18661,18849,27696,15911,50223,949,3036,2670,6435,3446,14955,12805,5928,53276,495,1105,1450,6243,15216,3894,14890,9983,52787,125319,107820,14752
3312,Gironde  - 12e circonscription,110251,2520,4163,7210,10145,6418,18392,24256,15198,14531,7418,26268,62034,21949,53901,13473,30694,9735,56350,12795,31340,12214,106612,3639,90164,1892,4166,5922,12358,14834,12813,25625,12555,43424,1322,2998,3571,5585,3000,10090,11965,4892,46740,569,1168,2351,6773,11834,2722,13660,7663,45333,107987,93613,11962
3401,Hérault  - 1re circonscription,114075,2753,3960,6273,9099,9549,22126,23168,14395,15248,7505,24832,66490,22753,53978,12974,31677,9327,60097,11858,34813,13426,108057,6018,95596,130,3762,9442,15514,16323,7992,24844,17590,44473,100,2686,5610,6854,4128,6798,10706,7590,51123,30,1076,3831,8660,12195,1194,14138,9999,52098,112035,87997,19116
3402,Hérault  - 2e circonscription,112733,3131,4047,6468,7970,18986,27692,17718,10616,10605,5501,25080,71548,16105,52779,12631,33559,6588,59954,12449,37988,9517,94955,17778,94506,57,2706,11033,12729,13524,8361,16701,29396,43545,46,1933,6180,5801,3914,7086,6970,11614,50961,11,773,4853,6928,9610,1275,9731,17781,56820,111415,74307,28910
3403,Hérault  - 3e circonscription,115772,2274,3596,6026,9571,17100,21716,23005,13097,13395,5992,25296,71089,19387,55723,12782,34430,8510,60049,12514,36659,10877,110115,5657,98438,308,3660,13313,15621,13967,7106,21409,23054,47084,241,2736,7823,7076,3542,6073,9906,9686,51354,67,924,5490,8545,10425,1033,11502,13368,51364,111461,88078,19056
3404,Hérault  - 4e circonscription,136724,2972,5098,9196,13061,9174,21390,30472,18269,18750,8343,33538,76094,27093,66400,17151,37105,12143,70324,16386,38988,14950,132324,4400,111709,1423,5578,10434,16987,17060,10720,30750,18758,53639,1026,4075,6337,7495,3880,8975,14303,7546,58071,397,1502,4097,9493,13179,1744,16447,11212,56364,134321,116059,15260
3405,Hérault  - 5e circonscription,123301,2547,4086,7413,10479,6941,18308,25190,17568,20069,10700,27005,65528,30768,59602,13787,32181,13634,63699,13218,33347,17134,117074,6227,103183,2141,5224,4337,11335,16549,12118,35558,15922,49501,1559,3728,2555,5164,3464,10347,16657,6028,53682,582,1496,1781,6172,13086,1771,18901,9894,54152,120543,100324,17059
3406,Hérault  - 6e circonscription,128709,2900,4494,7251,10501,9526,20522,25058,17213,20294,10949,27874,69591,31244,61374,14405,33694,13275,67335,13469,35898,17969,119028,9681,108277,616,4461,4724,11148,17835,12064,35223,22207,50922,483,3171,2749,5195,4136,10515,15879,8795,57356,133,1290,1975,5953,13700,1548,19345,13412,58133,125645,101103,20848
3407,Hérault  - 7e circonscription,128324,2348,3874,6670,10041,8638,18396,25152,17918,24058,11230,25729,67308,35288,60747,13237,32119,15391,67577,12491,35189,19896,121502,6822,109856,1137,5278,4659,11208,17700,11015,39242,19619,51297,896,3412,2741,5171,4158,9518,18114,7287,58559,241,1866,1918,6037,13542,1497,21127,12331,60452,125949,99983,22347
3408,Hérault  - 8e circonscription,123128,2744,4036,6550,9597,15167,24255,24837,14604,14858,6483,26616,75171,21341,59297,13656,36322,9319,63831,12960,38849,12022,116442,6685,104238,338,4148,9691,16361,17064,9734,24363,22538,49601,284,3095,5540,7607,4300,8449,11098,9228,54637,54,1053,4152,8754,12765,1285,13265,13310,55720,118979,93770,20807
3409,Hérault  - 9e circonscription,109565,2585,3739,5693,8354,10499,22906,21878,13009,14223,6679,22963,65701,20902,52392,11774,31665,8953,57173,11189,34036,11948,102475,7090,92817,339,3975,8426,14112,16183,9161,23284,17339,43900,266,2771,5068,6690,4066,7692,10421,6926,48917,73,1203,3358,7422,12116,1469,12863,10412,52091,108332,83510,20703
3501,Ille-et-Vilaine  - 1re circonscription,130859,3343,4912,7590,11221,14387,26104,26733,15835,14366,6369,30641,79483,20735,63003,15460,38791,8752,67856,15181,40693,11983,123656,7204,108744,173,2498,11865,18351,18024,12754,25429,19650,51754,121,1843,7309,8581,4313,10327,11038,8223,56990,53,655,4555,9770,13712,2427,14392,11427,59930,128297,100943,23296
3502,Ille-et-Vilaine  - 2e circonscription,130872,3077,4734,7926,11509,18141,25341,26058,15122,12990,5973,31821,80088,18963,65696,16491,40992,8213,65176,15330,39096,10750,126780,4092,108709,623,3009,16492,16900,15296,9659,22767,23963,54148,418,2270,10467,7730,3431,7953,10199,11680,54560,205,740,6025,9169,11865,1706,12568,12282,57389,125914,99742,21208
3503,Ille-et-Vilaine  - 3e circonscription,124332,3457,5597,9332,12035,13165,23917,24918,13138,12291,6482,33892,71667,18772,60820,17168,35579,8074,63512,16725,36088,10698,120800,3532,98738,1773,2912,7428,14731,17053,15044,22483,17313,47597,1163,2076,4531,7075,3549,11863,9982,7358,51141,610,836,2897,7656,13505,3181,12501,9955,49744,120779,101339,14892
3504,Ille-et-Vilaine  - 4e circonscription,122866,3394,5771,9754,12404,7580,23081,26789,14082,13271,6741,34073,68780,20013,61134,17429,34979,8725,61732,16645,33800,11287,121238,1628,96409,1982,3678,6386,14208,15668,17188,24600,12697,47930,1399,2581,4038,6878,2712,13757,11172,5392,48479,583,1097,2347,7330,12956,3431,13429,7305,49340,120668,104481,14244
3505,Ille-et-Vilaine  - 5e circonscription,138062,3892,6136,10678,14309,9428,26028,30399,15295,13944,7954,38271,77893,21898,68991,19476,39873,9642,69071,18795,38020,12256,136286,1776,108936,2619,3612,7832,16436,17469,20934,26314,13720,54393,1736,2577,4986,7907,2950,16001,12235,6000,54544,883,1036,2846,8528,14519,4933,14079,7720,54568,135815,119002,14803
3506,Ille-et-Vilaine  - 6e circonscription,118725,3246,5132,8436,10871,7561,21073,24104,14777,14930,8596,30128,65070,23526,58141,15357,32995,9790,60584,14772,32075,13736,117029,1696,95144,2404,3057,5171,12232,15035,16633,28521,12091,46028,1638,2147,3141,5759,2948,12962,12402,5030,49116,766,910,2031,6472,12087,3670,16119,7061,49514,115609,98430,15306
3507,Ille-et-Vilaine  - 7e circonscription,119146,2305,3603,6326,9771,7932,17187,23206,17461,20516,10839,24702,63088,31355,55864,12600,30691,12574,63282,12103,32397,18782,117686,1460,101315,765,4146,5944,12197,16172,11791,36153,14147,46965,553,2835,3689,5674,3432,9703,15459,5620,54350,211,1311,2256,6523,12740,2088,20693,8528,56213,115485,91336,21725
3508,Ille-et-Vilaine  - 8e circonscription,135061,2959,4056,6453,8899,23744,32795,23309,13187,12680,6978,26704,88698,19658,64206,13205,43178,7822,70855,13499,45520,11836,129194,5867,116699,159,2892,17532,18881,17581,9716,22919,27021,54821,112,2004,10120,8750,4929,7876,9332,11697,61878,46,888,7411,10131,12652,1840,13586,15324,69496,129859,87284,34658
3601,Indre  - 1re circonscription,110346,2119,3246,5873,8738,7531,16581,22175,15795,17850,10438,22346,59711,28289,53064,11452,29643,11970,57282,10895,30068,16319,106331,4015,94078,1509,3005,4136,10146,15634,13368,32973,13307,45106,1092,2006,2516,4625,3556,10848,14662,5801,48972,417,999,1620,5520,12078,2520,18311,7506,51882,106132,83650,20221
3602,Indre  - 2e circonscription,117745,2111,3434,6402,9165,6524,16328,24545,17802,19958,11477,23416,62894,31435,57311,12031,31731,13550,60434,11385,31164,17885,115607,2138,100581,2600,3448,3637,10272,15631,15935,37209,11849,48628,1997,2298,2222,5160,2884,12491,16769,4808,51953,604,1150,1416,5112,12747,3444,20440,7040,54167,114955,93861,18851
3701,Indre-et-Loire  - 1re circonscription,117594,2729,3719,5210,7384,21300,25714,18596,11830,12094,9019,23777,72703,21113,53976,11565,34789,7622,63618,12212,37914,13492,108822,8772,101844,21,2335,11676,14493,15822,9801,22895,24802,46097,16,1616,6865,6455,4342,7938,8663,10202,55747,4,719,4811,8039,11480,1863,14232,14600,63951,112850,72084,35620
3702,Indre-et-Loire  - 2e circonscription,117585,2703,4471,8066,11148,7732,19142,25895,16070,14893,7465,29139,66088,22358,58114,15074,32994,10047,59471,14065,33094,12311,115468,2117,95941,799,3361,7048,14613,15784,13961,27541,12834,46789,653,2403,4355,6983,3034,11313,12889,5160,49152,147,959,2692,7630,12750,2648,14652,7674,47966,115266,100898,12364
3703,Indre-et-Loire  - 3e circonscription,128277,2776,4326,7793,11250,8596,19769,26734,18194,19032,9806,29005,70434,28838,62318,14993,34704,12621,65959,14011,35731,16217,124358,3919,106875,1405,3687,7408,15100,17063,14146,33935,14131,51188,1050,2594,4656,6860,3421,11330,15618,5658,55687,355,1093,2753,8240,13641,2816,18317,8472,55930,125600,106061,17549
3704,Indre-et-Loire  - 4e circonscription,125177,2895,4552,7390,10619,9502,21218,25201,16947,17857,8995,28399,69925,26853,60296,14462,34092,11742,64881,13938,35833,15111,120245,4932,104316,1022,3243,6667,14712,17238,14894,31912,14627,49833,788,2225,4069,6999,3366,11838,14739,5808,54483,234,1018,2598,7713,13872,3056,17173,8819,55314,122351,101506,18466
3705,Indre-et-Loire  - 5e circonscription,111619,2488,3918,6828,10083,7890,18002,23766,14862,15569,8214,26002,61834,23783,54237,13402,30605,10231,57382,12600,31230,13553,109452,2168,92578,912,3045,7068,13787,15123,12537,27198,12909,44482,701,2095,4582,6390,3215,10025,12375,5099,48096,211,950,2486,7396,11908,2512,14822,7810,48012,109031,92128,14949
3801,Isère  - 1re circonscription,128340,2667,3807,6190,8766,20064,26558,21629,13958,15609,9092,25511,78129,24701,61868,12988,38764,10115,66472,12523,39364,14585,118461,9879,110599,68,2974,22181,16087,12349,5943,25549,25448,52705,45,2160,13106,7051,3440,4917,10770,11217,57894,23,815,9074,9036,8909,1026,14779,14231,63449,124832,87170,28498
3802,Isère  - 2e circonscription,125268,3465,4958,7693,10087,15133,24088,24090,14140,15203,6412,30133,73520,21615,61785,15724,36756,9305,63483,14408,36764,12310,113770,11498,103296,91,2984,10785,15264,16080,11964,24316,21812,50443,69,2302,6730,7377,3340,9918,11011,9696,52853,22,681,4056,7888,12740,2046,13305,12115,53712,120862,97879,18994
3803,Isère  - 3e circonscription,109262,3180,4209,6033,7581,13784,25745,19638,11119,11918,6054,23713,67576,17972,53114,12120,33733,7261,56148,11593,33843,10712,97775,11487,91354,46,2211,12089,14250,15052,10141,19350,18216,43969,40,1635,7461,6705,3792,8448,8209,7680,47384,6,576,4628,7545,11260,1693,11141,10536,52691,107265,78496,23288
3804,Isère  - 4e circonscription,117737,2746,4236,7481,10580,8928,20701,25803,15198,15414,6649,27736,67938,22063,59158,14420,34785,9953,58579,13315,33154,12110,112256,5481,97209,681,4100,8695,15792,16649,11254,25561,14478,48353,481,2900,5287,7729,4343,9443,12248,5923,48856,200,1200,3408,8063,12306,1811,13313,8555,49898,114752,96370,15652
3805,Isère  - 5e circonscription,135066,3255,5392,9431,13423,9282,22589,31590,17248,15532,7324,34762,77449,22855,66555,17930,38663,9962,68511,16832,38786,12894,130419,4647,109478,504,4058,14483,19052,16326,12401,26320,16333,53099,360,2995,9150,8773,3283,10112,11847,6578,56378,144,1062,5333,10279,13044,2289,14473,9756,54367,132669,115527,14857
3806,Isère  - 6e circonscription,116948,3338,5190,9015,11685,8209,21586,25547,14420,12661,5298,32010,66979,17959,57952,16483,33404,8065,58996,15527,33575,9894,110889,6059,92378,495,3933,6776,14846,14555,15997,22053,13723,45102,381,2951,4374,7364,2695,12056,10380,4901,47275,114,982,2402,7482,11860,3941,11673,8822,45359,115378,101803,11278
3807,Isère  - 7e circonscription,126309,3203,5296,9277,12698,8143,21409,27058,15823,15805,7598,33336,69570,23403,62624,17061,35017,10546,63685,16276,34553,12856,121037,5272,101167,1214,4744,6304,14102,15674,16536,27636,14958,49723,973,3470,3955,7091,2570,13016,12993,5655,51443,241,1273,2349,7011,13104,3520,14643,9303,50204,124171,108727,13049
3808,Isère  - 8e circonscription,108624,2705,4313,7477,10556,8378,18800,23769,13566,13140,5921,27771,61791,19062,53227,14291,30583,8354,55397,13481,31208,10708,103238,5386,87668,403,3630,7425,14228,13739,11903,22554,13786,42454,306,2760,4688,6796,2495,9840,10467,5102,45214,97,870,2737,7433,11243,2062,12087,8685,44113,107276,92980,12515
3809,Isère  - 9e circonscription,129642,3018,4730,8409,12466,9280,20974,28598,17162,17091,7914,31841,72796,25005,63497,16416,36143,10939,66145,15425,36653,14066,124006,5636,106312,865,4221,9558,16433,16000,14130,29022,16083,51537,622,3182,5929,7777,3085,11397,13241,6305,54775,243,1039,3629,8656,12915,2733,15781,9779,54233,127265,108553,16334
3810,Isère  - 10e circonscription,138191,3955,6279,10785,14490,10906,26663,29587,15738,13947,5841,38987,79416,19788,68230,20105,39461,8664,69962,18883,39955,11124,130909,7283,108120,451,3779,8520,16982,17786,18487,23750,18366,52874,349,2838,5557,8164,3672,14083,10842,7369,55245,102,941,2963,8818,14113,4403,12908,10997,54445,135838,117754,15278
3901,Jura    - 1re circonscription,86364,1738,2631,4988,7500,5935,13158,18059,11920,13134,7299,18819,47112,20433,41767,9644,23453,8670,44597,9175,23660,11763,83860,2504,72660,1176,2775,3864,9422,10829,11424,23462,9706,34758,892,1967,2357,4469,1954,8979,10355,3784,37902,283,808,1507,4953,8875,2446,13107,5922,39700,84266,67433,14701
3902,Jura    - 2e circonscription,78378,1777,2816,4962,7282,5257,13026,16857,10371,10391,5641,18540,43806,16032,38847,9456,22278,7112,39531,9084,21527,8920,73552,4826,64856,743,2366,3181,8322,8841,13703,18777,8922,31990,621,1698,1899,4034,1698,9721,8792,3527,32866,122,668,1283,4288,7143,3982,9985,5395,34856,77337,63813,12101
3903,Jura    - 3e circonscription,95760,2324,3576,6028,8474,6664,15486,19520,13000,13603,7084,22583,52489,20688,46700,11623,26233,8844,49060,10960,26256,11844,92847,2913,79090,992,2692,4046,10429,12298,12684,23871,12078,38058,816,1857,2455,5010,2482,10105,10935,4397,41032,176,835,1590,5420,9815,2579,12936,7680,42097,93348,77464,14268
4001,Landes  - 1re circonscription,132005,2638,4270,7493,11047,8206,20905,27998,18731,20949,9768,28039,73249,30717,64141,14133,36532,13476,67864,13906,36717,17241,127269,4736,111504,823,4601,5748,13247,19829,14978,36163,16115,53790,637,3097,3535,6438,5052,11771,16883,6376,57714,187,1504,2213,6809,14777,3207,19279,9739,59559,128231,104957,20175
4002,Landes  - 2e circonscription,141295,2908,4426,7736,11377,8864,23549,29976,19292,22559,10608,29298,78830,33167,67738,14978,38712,14048,73557,14320,40118,19119,136646,4649,119389,862,5808,6461,16238,20398,15249,38555,15818,56785,606,4192,3811,7699,4356,12575,17459,6087,62604,256,1616,2650,8539,16043,2674,21096,9731,64669,137805,112036,22615
4003,Landes  - 3e circonscription,123926,2523,4047,7503,10571,6714,18534,26680,17972,19043,10340,27016,67527,29383,61093,14110,34021,12962,62833,12906,33506,16421,121231,2695,103767,3103,4154,4042,11880,16271,16503,34421,13392,50706,2220,2865,2349,5804,2833,13178,16248,5209,53061,883,1289,1693,6076,13438,3325,18173,8183,52178,121673,104510,14303
4101,Loir-et-Cher  - 1re circonscription,115003,2674,4241,6905,9688,9210,19332,22829,15449,15884,8790,26323,64006,24675,55454,13567,31339,10548,59549,12756,32667,14126,107349,7654,95781,471,2927,6658,13119,15384,13842,28937,14443,45569,382,1984,4079,6129,3185,10800,12826,6185,50212,89,944,2579,6990,12199,3042,16111,8258,52162,111965,89883,19483
4102,Loir-et-Cher  - 2e circonscription,106891,2230,3534,6167,8792,6040,16030,21562,15667,17281,9589,22706,57315,26870,51887,11604,28621,11662,55004,11102,28694,15208,103000,3891,89594,831,3526,3564,10197,14014,14538,31958,10965,43291,624,2543,2175,5124,2903,11122,14419,4381,46302,208,983,1389,5073,11111,3417,17539,6584,47184,103640,86411,15116
4103,Loir-et-Cher  - 3e circonscription,110107,2415,3834,6835,9469,6455,16736,22755,15346,16592,9671,24901,58944,26262,54068,12817,29676,11574,56039,12084,29267,14688,107197,2910,91690,1817,3225,4767,10646,14551,14741,31253,10689,44432,1499,2291,3076,5148,2406,11484,14190,4339,47259,318,934,1691,5499,12146,3257,17063,6351,48008,107397,90454,15085
4201,Loire  - 1re circonscription,109181,2962,4165,6404,8446,10301,20616,19964,14098,14177,8048,24649,62307,22225,52033,12602,30495,8936,57148,12047,31812,13289,98058,11123,90907,74,2679,6186,12044,14214,12658,25239,17812,42672,58,2037,3800,5561,3215,10506,10849,6645,48235,16,642,2386,6483,10999,2151,14390,11167,49083,106745,84867,19052
4202,Loire  - 2e circonscription,99739,2406,3415,4951,6577,13238,19046,16732,10844,13714,8816,20639,56569,22530,46970,10603,27572,8796,52768,10036,28998,13734,88776,10963,85284,9,2223,6161,10799,12029,9934,24580,19547,39398,9,1697,3638,5124,3035,8052,10058,7786,45885,0,527,2523,5676,8994,1882,14523,11761,50969,97090,68042,25465
4203,Loire  - 3e circonscription,120023,2986,4602,7859,10850,9370,20125,24410,15410,16325,8088,29308,66302,24413,58327,15168,32798,10361,61696,14140,33504,14052,112819,7204,98271,601,3287,6184,13859,15231,13966,28404,16739,46936,442,2513,3862,6598,2965,11429,12818,6310,51335,160,775,2321,7261,12267,2537,15586,10429,49139,117213,100393,14818
4204,Loire  - 4e circonscription,141109,3435,5342,9329,13283,9899,22621,28915,18772,19330,10183,34580,77016,29513,68649,17763,38299,12587,72460,16817,38717,16926,135156,5953,115354,915,4359,6006,15482,17846,17408,35256,18082,55675,687,3297,3893,7455,3235,14093,16054,6961,59679,228,1063,2113,8028,14611,3315,19202,11120,58429,137824,118154,17622
4205,Loire  - 5e circonscription,142344,3198,4766,8294,12223,9550,21955,28013,19875,22278,12191,31676,76199,34469,68160,16083,37727,14350,74184,15593,38472,20119,137695,4649,119038,1389,4689,5519,13725,18624,17971,40812,16308,56436,1072,3184,3346,6371,3746,14259,17720,6737,62602,317,1505,2173,7353,14879,3712,23093,9571,64141,138321,112510,23013
4206,Loire  - 6e circonscription,144319,3304,5477,9482,13533,9543,23827,30287,19196,19986,9684,35025,79624,29670,71026,18012,39978,13036,73293,17013,39646,16634,140823,3496,118305,1868,5225,6482,15828,18316,18656,35616,16314,57820,1445,3783,4163,7608,3201,14813,16326,6482,60485,423,1443,2319,8220,15115,3843,19290,9832,60108,141397,121312,17813
4301,Haute-Loire    - 1re circonscription,125023,2776,4503,8158,11637,8299,20104,26243,17002,17396,8906,29983,68738,26302,61551,15346,34933,11272,63472,14637,33805,15030,122407,2615,103048,1825,4307,4829,13720,16055,16446,32092,13773,50222,1418,3043,2909,6575,3031,13279,14295,5672,52825,407,1265,1921,7145,13023,3167,17797,8100,52721,121500,102638,16683
