Identifiant DEPCIR (numéro de département suivi du numéro de circonscritption),Intitulé de DEPCIR,Population,Population 0-2 ans,Population 3-5 ans,Population 6-10 ans,Population 11-17 ans,Population 18-24 ans,Population 25-39 ans,Population 40-54 ans,Population 55-64 ans,Population 65-79 ans,Population 80 ans et plus,Population 0-19 ans,Population 20-64 ans,Population 65 ans et plus,Population Hommes,Population Hommes 0-19 ans,Population Hommes 20-64 ans,Population Hommes 65 ans et plus,Population Femmes,Population Femmes 0-19 ans,Population Femmes 20-64 ans,Population Femmes 65 ans et plus,Population française,Population étrangère,Population 15 ans ou plus,Population 15 ans ou plus Agriculteurs exploitants,"Population 15 ans ou plus Artisans, Comm., Chefs entr.","Population 15 ans ou plus Cadres, Prof. intel. sup.",Population 15 ans ou plus Prof. intermédiaires ,Population 15 ans ou plus Employés,Population 15 ans ou plus Ouvriers,Population 15 ans ou plus Retraités ,Population 15 ans ou plus Autres,Population Hommes15 ans ou plus,Population Hommes 15 ans ou plus Agriculteurs exploitants,"Population Hommes15 ans ou plus Artisans, Comm., Chefs entr.","Population Hommes 15 ans ou plus Cadres, Prof. intel. sup.",Population Hommes 15 ans ou plus Prof. intermédiaires ,Population Hommes15 ans ou plus Employés,Population Hommes 15 ans ou plus Ouvriers,Population Hommes 15 ans ou plus Retraités ,Population Hommes 15 ans ou plus Autres,Population Femmes15 ans ou plus,Population Femmes 15 ans ou plus Agriculteurs exploitants,"Population Femmes15 ans ou plus Artisans, Comm., Chefs entr.","Population Femmes 15 ans ou plus Cadres, Prof. intel. sup.",Population Femmes 15 ans ou plus Prof. intermédiaires ,Population Femmes 15 ans ou plus Employés,Population Femmes 15 ans ou plus Ouvriers,Population Femmes 15 ans ou plus Retraités ,Population Femmes 15 ans ou plus Autres,Résidences principales,Population Ménages : Nombre de personnes des ménages,Population ménages : nombre de personnes dans les ménages avec famille(s),Population ménages : Nombre de ménages d'une Personne seule
DEPCIR,DEPCIR INTITULE,P13 pop,P13 pop0002,P13 pop0305,P13 pop0610,P13 pop1117,P13 pop1824,P13 pop2539,P13 pop4054,P13 pop5564,P13 pop6579,P13 pop80p,P13 pop0019,P13 pop2064,P13 pop65P,P13 poph,P13 h0019,P13 h2064,P13 h65p,P13 popf,P13 f0019,P13 f2064,P13 f65p,P13 pop fr,P13 pop etr,P13 Pop15P,C13 Pop15P cs1,C13 Pop15P cs2,C13 Pop15P cs3,C13 Pop15P cs4,C13 Pop15P cs5,C13 Pop15P cs6,C13 Pop15P cs7,C13 Pop15P cs8,C13 H15P,C13 H15P cs1,C13 H15P cs2,C13 H15P cs3,C13 H15P cs4,C13 H15P cs5,C13 H15P cs6,C13 H15P cs7,C13 H15P cs8,C13 F15P,C13 F15P cs1,C13 F15P cs2,C13 F15P cs3,C13 F15P cs4,C13 F15P cs5,C13 F15P cs6,C13 F15P cs7,C13 F15P cs8,P13 rp,C13 pmen,C13 pmen menfam,C13 pmen menseul
0205,Aisne - 5e circonscription,116207,2983,4492,7773,11149,8164,20429,25475,15625,13409,6707,29088,67003,20116,57500,14988,33781,8731,58707,14100,33223,11385,112486,3721,94182,1381,3050,4896,12023,16287,18008,23916,14620,46279,989,2177,2981,5883,3288,14172,11023,5766,47903,392,873,1914,6141,12999,3836,12893,8855,47467,114028,98299,13436
0301,Allier  - 1re circonscription,120180,2368,3662,6699,9959,7479,18043,25151,17871,18374,10574,25206,66025,28948,58306,13005,32792,12509,61874,12202,33233,16439,117371,2809,101703,2281,3372,4275,11471,16593,15125,34151,14435,48923,1732,2272,2492,5154,3495,12459,15588,5731,52780,548,1099,1783,6317,13099,2666,18563,8704,54953,116554,93861,19947
0302,Allier  - 2e circonscription,115446,2226,3302,5943,8801,7734,16904,23027,17069,19579,10863,22679,62326,30441,55447,11520,31190,12737,59999,11159,31136,17705,111761,3685,98847,1664,3080,3862,10271,16269,13446,35168,15087,46923,1234,2170,2302,5073,3432,11224,15582,5907,51924,430,910,1560,5198,12838,2222,19586,9180,54729,111447,87762,21307
0303,Allier  - 3e circonscription,107805,2097,3183,5656,8089,7559,15623,21053,15422,18477,10646,21382,57299,29124,50791,10850,27935,12007,57014,10532,29365,17117,104404,3401,92168,1409,3634,4419,9698,14237,11993,33070,13709,42775,1023,2550,2625,4700,2745,9604,14466,5062,49393,386,1084,1794,4997,11492,2389,18605,8647,52087,105151,81801,21089
0401,Alpes de Haute-Provence - 1re circonscription,78975,1545,2348,4543,6528,5106,11589,16490,11422,13058,6346,16690,42881,19404,38280,8657,21090,8532,40695,8033,21791,10871,75570,3405,67165,1125,3363,3241,8382,11035,7750,22108,10161,32326,770,2331,1857,3896,2728,6390,10464,3891,34839,355,1032,1384,4486,8307,1360,11644,6269,36661,77290,61971,13449
0402,Alpes de Haute-Provence - 2e circonscription,82941,1647,2646,4579,7052,5167,12349,17208,11809,13852,6633,17705,44750,20486,40269,9067,22121,9080,42672,8638,22629,11405,79007,3934,70041,1080,3572,4250,9164,10635,7602,23012,10726,33623,711,2536,2555,4260,2437,6217,10851,4055,36418,369,1035,1695,4904,8198,1385,12161,6671,37872,80895,65263,13533
0501,Hautes-Alpes  - 1re circonscription,75300,1562,2380,4371,6546,5134,11661,15876,10337,11309,6125,16586,41280,17434,36311,8237,20556,7517,38989,8349,20724,9917,72612,2688,63118,935,2810,3484,8411,11303,7050,19731,9394,30366,690,2011,2057,3919,3020,5901,9033,3734,32753,244,798,1428,4492,8283,1148,10699,5659,34538,73015,58170,12982
0502,Hautes-Alpes  - 2e circonscription,63979,1320,2142,3693,5451,3523,10713,13832,9099,9510,4697,13798,35974,14207,31716,7175,18052,6489,32263,6623,17922,7718,62060,1919,53612,917,3367,2553,8163,9702,5869,15972,7070,26307,649,2313,1357,4096,2460,5116,7525,2791,27305,268,1054,1196,4067,7242,753,8446,4279,29174,62061,50361,10453
0601,Alpes-Maritimes - 1re circonscription,135455,3102,4031,6235,9069,12860,25827,25296,15975,20276,12784,25378,77016,33061,62765,13135,36654,12976,72690,12243,40362,20085,116186,19269,117031,32,4497,9875,14273,21779,10256,33634,22686,53178,29,2997,5711,6468,6484,8561,13839,9090,63853,3,1500,4164,7805,15295,1695,19794,13597,70262,133376,93201,33872
0602,Alpes-Maritimes - 2e circonscription,115229,2329,3859,7037,10544,7950,18725,25045,15612,16474,7654,26386,64715,24128,56256,13566,32028,10662,58972,12820,32686,13466,107198,8031,95997,458,5735,8295,13274,15629,10573,26052,15982,46147,296,4249,5213,5875,3671,8724,11964,6156,49850,162,1486,3082,7400,11957,1849,14088,9826,48632,112412,94348,15349
0603,Alpes-Maritimes - 3e circonscription,131096,3174,4437,6851,9859,10867,23348,25527,15700,19519,11813,27492,72271,31333,60987,14065,34403,12520,70109,13428,37868,18813,117426,13671,111006,41,4329,8960,14376,18924,9801,32237,22338,50603,26,3218,4946,6464,5569,8483,13652,8245,60403,16,1110,4014,7912,13355,1318,18585,14093,61497,127911,98876,25225
0604,Alpes-Maritimes - 4e circonscription,115149,2278,3387,6054,8740,7742,18046,25354,15394,17902,10253,22840,64155,28155,54631,11755,31241,11636,60518,11085,32914,16519,101159,13990,98392,223,4640,6123,12016,19858,10200,30392,14939,46083,150,3269,3699,5590,6043,8612,13334,5387,52309,73,1371,2425,6426,13815,1588,17058,9552,51568,111878,90742,17919
0605,Alpes-Maritimes - 5e circonscription,126041,2863,4170,6710,9450,12036,21876,25341,16310,18260,9026,26487,72268,27285,61063,13599,35307,12157,64978,12888,36961,15128,113865,12175,107048,274,5010,8660,15157,18420,10157,29024,20347,51448,153,3660,5327,6988,5227,8508,13374,8211,55600,121,1349,3333,8169,13192,1649,15651,12135,55543,121410,97473,19936
0606,Alpes-Maritimes - 6e circonscription,101496,2035,3084,5046,7246,6383,17556,20926,13067,17641,8511,19417,55927,26152,48108,10145,26923,11040,53388,9272,29003,15112,95684,5812,87148,146,4659,8652,12742,14536,7199,27361,11852,40467,91,3313,5220,5661,3814,6121,12058,4189,46681,55,1346,3432,7081,10722,1078,15303,7664,48246,99956,79148,18083
0607,Alpes-Maritimes - 7e circonscription,130960,2578,3748,6849,10386,10249,21624,27795,16443,20343,10946,26600,73071,31289,62676,13755,35666,13255,68284,12846,37405,18033,117516,13444,112073,193,6421,15024,14479,17122,8001,32152,18681,52863,110,4422,9413,6193,4684,6739,14126,7175,59210,83,1999,5611,8285,12438,1262,18026,11506,60872,128949,102804,22680
0608,Alpes-Maritimes - 8e circonscription,115273,2335,3349,5348,7455,8049,18650,22063,13893,20742,13389,20905,60238,34131,53166,10752,28753,13661,62108,10153,31485,20470,103740,11534,100102,84,4866,6120,11017,18090,9286,35027,15611,45448,59,3370,3751,5128,5150,7780,14497,5713,54654,25,1496,2369,5889,12940,1506,20530,9898,57877,112840,83735,25529
0609,Alpes-Maritimes - 9e circonscription,110072,2270,3659,6185,9175,7141,18978,24198,13509,16076,8881,23572,61544,24957,52499,12324,29769,10406,57573,11248,31775,14551,102162,7911,92810,115,5300,8776,13005,16160,9228,26405,13820,43374,79,3809,5360,5706,4095,7609,11495,5221,49437,35,1491,3416,7299,12065,1620,14910,8599,49270,107480,87317,17337
